id,name,class,is_company,street,owner,city,zip,phone,fax,website,email,active,hospital,supplier,customer,child_ids/name,child_ids/active,child_ids/type,child_ids/function
res_partner_780,RSJ Dr Soeharto Heerjan Jakarta,a,TRUE,Jl. Prof.Dr.Latumeten No. 1 Jakbar,Kemkes,Jakarta Barat,11460,021 5682841,021 5682843, www.rsjsh.com,  ,TRUE,FALSE,FALSE,TRUE,"Dr Aris Tambing, MARS",TRUE,Contact,Direktur
res_partner_1357,RS PKU Muhammadiyah Bantul,c,TRUE,Jl. Jenderal Sudirman 124 Bantul,organisasi,Bantul,55710,0274 368238,0274 368586, www.rspkubantul.com, pkubantul@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,"dr Barkah Djaka Purwanto, Sp.PD",TRUE,Contact,Direktur
res_partner_2430,RS ASTRINI,other,TRUE,"JL. Brigjend Katamso, Kaliancar, Selogiri.",pemda,Wonogiri,57652,(0273) 322864,(0273) 5328948,  , rsa_astrini@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,dr Bimo Nugroho,TRUE,Contact,Direktur
res_partner_2518,RSIA PERDANA MEDICA,other,TRUE,JL RAYA KUTISARI NO 6,swasta,Kota Surabaya, ,031 8498311 /,,  ,0,TRUE,FALSE,FALSE,TRUE,DR CHESIA CHRISTIANI LIUWAN,TRUE,Contact,Direktur
res_partner_378,RSUD Teluk Kuantan,c,TRUE,Jl. Kesehatan No. 1 Sinambek,pemda,Kuantan Singingi,29562,0760 561857,0760 561857,  , rsudtelukkuantan@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,DR DAVID OLOAN MARS,TRUE,Contact,Direktur
res_partner_877,RS Lanud Sulaiman,other,TRUE,Jl. Terusan Kopo Margahayu Bdg,angkatan,Bandung,22,5409608,,0,0,TRUE,FALSE,FALSE,TRUE,"DR DAYANTI YULIASTUTI, SPPK, MKES",TRUE,Contact,Direktur
res_partner_502,RSB Tiara Fatrin,c,TRUE,"Jl. Rajawali No.495 496,Palembang",organisasi,Kota Palembang,30113,0711 353438,0711 322528,  , rsk_tiarafatrin@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,dr Desi Kurniasih,TRUE,Contact,Direktur
res_partner_2024,RS Dim 0901 Samarinda,other,TRUE,Jl. Jen Sudirman no.52 Samarinda,angkatan,Kota Samarinda,,541742168,541742168,  , nazir_one81@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,DR DWI SUSANTO,TRUE,Contact,Direktur
res_partner_577,RSU BUNDA,c,TRUE,JL TANJUNG SARI NO 481 KEL TIUH BALAK PASAR,swasta,Way Kanan,34500,7234760022,7234760022,  , bundarumahsakit@gmail.com,TRUE,FALSE,FALSE,TRUE,DR ENDHAH SURI UTAMI,TRUE,Contact,Direktur
res_partner_669,RS Tebet,c,TRUE,Jl Let.Jen.MT Haryono kav 13 Jakarta Selatan,organisasi,Jakarta Selatan,21810,8307540,8311760,  www.rstebet.com,  rstebet@indo.net.id,TRUE,FALSE,FALSE,TRUE,Dr Esther Poerwantoro Sp.PK,TRUE,Contact,Direktur
res_partner_2477,RUMAH SAKIT angkatan 05.08.03 SIDOARJO,other,TRUE,JL DR SOETOMO NO 2 SIDOARJO,angkatan,Sidoarjo,61211,318964610,318968508,0, rsdkt_sidoarjo@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,"DR FAJAR SATYA PUTRA, Sp. THT KL",TRUE,Contact,Direktur
res_partner_1622,RS Islam Aisyiyah Malang,c,TRUE,Jl. Sulawesi No 16 Malang,organisasi,Kota Malang,65117,0341 326773,0341 363888, www.rsiaisyiyah malang.or.id, rsiaisyiyah_malang@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,dr H Hartojo Sp PK (K),TRUE,Contact,Direktur
res_partner_1523,RS BUNDA,c,TRUE,JL KUNDI NO 70,swasta,Sidoarjo,61219,031 8668880,031 8688218, www.bunda.co.id, rsbunda.sda@gmail.com,TRUE,FALSE,FALSE,TRUE,DR HANDINI MARS,TRUE,Contact,Direktur
res_partner_871,RS Kebonjati,c,TRUE,Jl. Kebonjati No 152 Bandung,organisasi,Kota Bandung,40181,(022) 6014058,(022) 6079445, http://www.rskebonjati.com, rskebonjati@gmail.com,TRUE,FALSE,FALSE,TRUE,"dr Junandi Surjautama,SH,MM.",TRUE,Contact,Direktur
res_partner_453,RSIA H. Abdul Malik,other,TRUE,"Jln. H. Syamsir No.5 B, Sungai Pinang, Bungo Dani, Muara Bungo.",swasta,Bungo,37213,82186030444,,  , rsia.ham@gmail.com,TRUE,FALSE,FALSE,TRUE,"DR LELY MARLINI, SpKK",TRUE,Contact,Direktur
res_partner_729,RSIA Resti Mulya,c,TRUE,Jl. Pahlawan Komarudin no. 05 penggilingan   Cakung,swasta,Jakarta Timur,13940,021 4803936,,  , rsia_resti_mulya@ymail.com,TRUE,FALSE,FALSE,TRUE,dr Maramis,TRUE,Contact,Direktur
res_partner_986,RSUD LEMBANG,d,TRUE,"JL. RAYA LEMBANG KM.11,4 NO.11 DESA GUDANG KAHURIPAN KECAMATAN LEMBANG",pemda,Bandung Barat,40391,(022) 2786879,(022) 2785675,0, rsudlembang@gmail.com,TRUE,FALSE,FALSE,TRUE,"dr ONNI HABIE,MARS",TRUE,Contact,Direktur
res_partner_1191,RS Lanuma Adisumarmo,d,TRUE,"Jl. Tentara Pelajar   Colomadu, Karanganyar",angkatan,Karanganyar,57177,0271 780050,0271 780050,  , rumkitlanudsmo@yahoo.com,TRUE,FALSE,FALSE,TRUE,"dr Paulus Supriono, Sp.Rad",TRUE,Contact,Direktur
res_partner_2421,RS MUHAMMADIYAH KUTOWINANGUN,other,TRUE,Jl. Pemuda No 12 Kutowinangun,swasta,Kebumen,54393,(0287) 661137,0287 661137,0, pkukuto@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,dr Rheni Haryanti,TRUE,Contact,Direktur
res_partner_2326,RS Islam Materna,other,TRUE,Jl. Merdeka Barat No. 25,organisasi,Kota Lhokseumawe,24352,85277142233,,  ,0,TRUE,FALSE,FALSE,TRUE,dr Rina,TRUE,Contact,Direktur
res_partner_2440,RUMAH SAKIT IBU DAN ANAK PLAMONGAN INDAH,other,TRUE,jl. kelapa gading raya no. 52 semarang,swasta,Semarang,50193,024  6711771,,0,0,TRUE,FALSE,FALSE,TRUE,dr rini susanti,TRUE,Contact,Direktur
res_partner_610,Rumah Sakit Bersalin Asih,c,TRUE,Jl Ahmad Yani No 52,swasta,Kota Metro,34182,(0725) 49200,(0725) 41928,0, rsbasihmetro@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,dr Ririn Febrina,TRUE,Contact,Direktur
res_partner_994,RS Azra,c,TRUE,"Jl. Raya Pajajaran No.219, Bogor",swasta,Kota Bogor,16153,0251 8318456,0251 8331773, www.rsazra.co.id, soeparno@rsazra.co.id,TRUE,FALSE,FALSE,TRUE,"Dr Rizasyah Daud,MSc, Sp.PD KR",TRUE,Contact,Direktur
res_partner_1015,RS Advent Bandung,b,TRUE,Jl. Cihampelas 161 Bandung,organisasi,Kota Bandung,40131,022 2034386,022 4231247, WWW.RSADVENTBANDUNG.COM, medrec@rsadventbandung.com,TRUE,FALSE,FALSE,TRUE,dr Roy David Sarumpaet Sp. THT   KL.,TRUE,Contact,Direktur
res_partner_1950,RSUD Kuala Kurun,d,TRUE,Jl. Jend. A. Yani No.43 Kuala Kurun Kalimantan Tengah,pemda,Gunung Mas,74511,31039,31545,  , rsudkualakurun@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,dr RUTH PAKPAHAN,TRUE,Contact,Direktur
res_partner_694,RS Mayapada,b,TRUE,Jalan Lebak Bulus I. Kav. 29,swasta,Jakarta Selatan,12340,021 29217777,021 29216666, www.mayapadahospital.com,0,TRUE,FALSE,FALSE,TRUE,"dr Senta Lucia Kumurur, MM",TRUE,Contact,Direktur
res_partner_1127,RSU Medika Lestari Banyumas,d,TRUE,Jl. Raya Nasional Pageralang RT 03 RW 03 Kemranjen Banyumas,swasta,Banyumas,53194,0282 5291299,,0, lestarimedika@yahoo.com,TRUE,FALSE,FALSE,TRUE,"dr Sri lestari, MM",TRUE,Contact,Direktur
res_partner_2589,RS KASIH HERLINA,other,TRUE,JL SELAT MAKASAR NO 7,swasta,Sorong,98415,951323026,,0,0,TRUE,FALSE,FALSE,TRUE,dr SUCI HANDAYANI,TRUE,Contact,Direktur
res_partner_509,RS HERMINA PALEMBANG,c,TRUE,JL. BASUKI RAHMAT NO 897 RT 897 RT 11 RW 003 PALEMBANG,swasta,Kota Palembang,30127,711352525,, http://herminahospitalgroup.com/, PALEMBANG@HERMINAHOSPITALGROUP.COM,TRUE,FALSE,FALSE,TRUE,"DR SURYANTI GUNADI, MARS",TRUE,Contact,Direktur
res_partner_2466,RSU BAKTI MULIA,other,TRUE,JALAN BRAWIJAYA NO 46 MUNCAR,swasta,Banyuwangi,68472,0333 590001,,0,0,TRUE,FALSE,FALSE,TRUE,dr SUTRISNO,TRUE,Contact,Direktur
res_partner_208,RS Pertamina P Brandan,c,TRUE,JALAN WAHIDIN NO 1 PANGKALAN BERANDAN,bumn,Langkat,20857,0620 20140,0620 350191,  , amedis_rsppb@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,DR SYAMSU ALAM ALIYAH,TRUE,Contact,Direktur
res_partner_294,RSU Bunda Thamrin,c,TRUE,Jln. Sei Batang Hari,swasta,Kota Medan,20119,061  4557318,(62 61) 4558218, rsu bundathamrin.blogspot.com, rsu_bundathamrin@yahoo.com,TRUE,FALSE,FALSE,TRUE,"Dr Teren, M.Kes",TRUE,Contact,Direktur
res_partner_1557,RS Muhamadiyah Sumberejo,d,TRUE,Jl. Raya Sumberrejo 1193 Bojonegoro,organisasi,Bojonegoro,353,331056,,  ,  ,TRUE,FALSE,FALSE,TRUE,dr Tomy Oky Prasiska,TRUE,Contact,Direktur
res_partner_1169,RS Jiwa Dr.R.M.Soedjarwadi Klaten,a,TRUE,"Jalan Ki Pandanaran Km. 2, Klaten",pemda,Klaten,57461,0272 321435,0272 321418, rsjd sujarwadi.jatengprov.go.id, soedjarwadi@jatengprov.go.id,TRUE,FALSE,FALSE,TRUE,"dr Tri kuncoro, M.M.R",TRUE,Contact,Direktur
res_partner_1367,RS PANTI RAHAYU,d,TRUE,Jl.Wonosari Ponjong Km 7 Kelor Karangmojo Gunungkidul,swasta,Gunung Kidul,55891,0274 392718,0274 391964,0, rs_pantirahayukelor@yahoo.com,TRUE,FALSE,FALSE,TRUE,"dr Y Wibowo Soerahjo,MMR",TRUE,Contact,Direktur
res_partner_2374,RS RUMAH SEHAT TERPADU DOMPET DHUAFA,,TRUE,Jl. Raya Parung KM 42,organisasi,Bogor, ,0251 861 8651 /,, rumahsehatterpadu.or.id,0,TRUE,FALSE,FALSE,TRUE,DR YAHMIN SETIAWAN MARS,TRUE,Contact,Direktur
res_partner_1275,RS Siti Asiyah,d,TRUE,"Jl. Pasar Wage, Bumiayu, Brebes",organisasi,Brebes,52273,0289 432352,0289 430581,  , rs_asiyah@yahoo.com,TRUE,FALSE,FALSE,TRUE,dr YASIN,TRUE,Contact,Direktur
res_partner_2542,RS Kartini,other,TRUE,Jl. Frans Seda No. 17,swasta,Kota Kupang,85228,0380   831270,, www.rskartinikupang.com, rskartinikupang@gmail.com,TRUE,FALSE,FALSE,TRUE,"dr Yudith Marieta Kota,M.kes",TRUE,Contact,Direktur
res_partner_260,RSU Sundari,c,TRUE,"Jl. Jend. T.B.Simatupang No.31,Medan",organisasi,Kota Medan,20127,61.8452536,61.8452536,  , rsu.sundari@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,dr Zulkarnain Hutasuhut,TRUE,Contact,Direktur
res_partner_1687,RS Gotong Royong,other,TRUE,Jl. Medokan Semampir Indah Sby,organisasi,Kota Surabaya,31,5939692,,  , rsgrmdksby@ymail.com,TRUE,FALSE,FALSE,TRUE,"Dr, Suwarni",TRUE,Contact,Direktur
res_partner_2100,RS Mata Prof.Dr. Warouw,other,TRUE,Jl. Dr Suharso No. 2 Palu,organisasi,Palu,451,423818,422657,  ,  ,TRUE,FALSE,FALSE,TRUE,Dr. A Fikri Kenzens,TRUE,Contact,Direktur
res_partner_1859,RS Karitas Weetabula,d,TRUE,Jl. Bulgur No 1   Weetebula,organisasi,Sumba Barat Daya,87511,0387   2524027,0387   2524008,  , kagepekaritas@yahoo.com,TRUE,FALSE,FALSE,TRUE,"dr. A. A. G. Oka Wiryanatha, Sp.B",TRUE,Contact,Direktur
res_partner_1808,Rumkit Tk.IV Singaraja,d,TRUE,Jl. Ngurah Rai No. 70 Singaraja,angkatan,Buleleng,81113,(0362) 21921,(0362) 21921,  , rstsingaraja@gmail.com,TRUE,FALSE,FALSE,TRUE,"dr. A. H. Drakel, Sp.OT",TRUE,Contact,Direktur
res_partner_1473,Rumkit Tk.III Baladika Husada Jember,c,TRUE,Jl. PB Sudirman No. 45 Jember,angkatan,Jember,68118,0331 484674,0331 425673, rsbaladhikahusada.org, rsadbaladhikahusada@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,"dr. A. Rusli Budiansyah, Sp. B, MARS",TRUE,Contact,Direktur
res_partner_2178,RSU ST. MADYANG,c,TRUE,JL. ANDI KAMBO NO.87,swasta,Kota Palopo,91921,0411 24227,,  , rsust.madyang@yahoo.com,TRUE,FALSE,FALSE,TRUE,"dr. A. THAMRIN DJUFRI, M. Kes",TRUE,Contact,Direktur
res_partner_790,RS Medika Permata Hijau,c,TRUE,Jl. Kebayoran Lama No.64 Jakarta Barat,swasta,Jakarta Barat,11560,021 5305288,021 5305291, www.rsmph.co.id,  ,TRUE,FALSE,FALSE,TRUE,"Dr. A.Hardiman,Sp.KJ,MARS",TRUE,Contact,Direktur
res_partner_1980,RSU Suaka Insan,c,TRUE,Jl. H Zafri Zamzam Banjarmasin,organisasi,Kota Banjarmasin,70116,0511 353335,0511 355121,  , rssuakainsan@gmail.com,TRUE,FALSE,FALSE,TRUE,"Dr. A.J. Djohan,MM",TRUE,Contact,Direktur
res_partner_1610,RS Budi Rahayu,c,TRUE,Jl. Jend.A Yani 18 Blitar,organisasi,Kota Blitar,66111,0342 801066,0342 804284, www.budirahayu.com, budirahayu_blitar@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,"Dr. A.W.Soehapto,DHSM",TRUE,Contact,Direktur
res_partner_1787,RS Dharma Kerti Tabanan,other,TRUE,Jl. Teratai 16 Tabanan,organisasi,Tabanan,82111,811424,811077, dharmakerti_rs@yahoo.com, dharmakerti_rs @yahoo.com,TRUE,FALSE,FALSE,TRUE,"dr. AA Made Dwi Setiadi, MARS",TRUE,Contact,Direktur
res_partner_446,RSUD Sungai Bahar,d,TRUE,Jl. Soekarno Hatta,pemda,Muaro Jambi,36365,0743 23353,0743 23353,0, rsudsungaibahar@ymail.com,TRUE,FALSE,FALSE,TRUE,dr. Aang Hambali,TRUE,Contact,Direktur
res_partner_1342,RSUD Kardinah,b,TRUE,"Jl. KS Tubun No.4, Kota Tegal",pemda,Kota Tegal,52124,0283 350377,0283 353131, www.rsukardinah.net, rsukardinahtegal@gmail.com,TRUE,FALSE,FALSE,TRUE,"dr. Abdal Hakim Tohari, Sp.RM, MMR",TRUE,Contact,Direktur
res_partner_548,RSU Rafflesia,d,TRUE,Jl. Mahoni No.10 Kel. Padang Jati Kec.Ratu Samban Kota Bengkulu,organisasi,Kota Bengkulu,38227,0736 21710,0736 21954,  , rs_rafflesiabkl@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,dr. Abdi Setia Kesuma,TRUE,Contact,Direktur
res_partner_343,Semen Padang Hospital,c,TRUE,Jl. By Pass KM 7 Kelurahan Pisang Kecamatan Pauh,bumn,Kota Padang,25161,0751 777888,0751 4782990, semenpadanghospital.co.id, rssemenpadang@yahoo.com,TRUE,FALSE,FALSE,TRUE,"Dr. Abdi Setia Putra, MARS",TRUE,Contact,Direktur
res_partner_1053,RSU Sumber Hurip,d,TRUE,Jl. Dewi Sartika No.15,swasta,Cirebon,45611,(0231)8302689,(0231)8302655,  , rssumberhurip@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,"dr. Abdul Azis, MM",TRUE,Contact,Direktur
res_partner_1241,RS Islam NU Demak,d,TRUE,"Jl. Jogoloyo No.9, Kec. Wonosalam, Demak",organisasi,Demak,59571,291685723,291686508, rsinudemak.co.id, rsinudemak@yahoo.com,TRUE,FALSE,FALSE,TRUE,dr. Abdul Aziz,TRUE,Contact,Direktur
res_partner_1226,RSUD dr. LOEKMONO HADI,b,TRUE,"Jl. Dr. Lukmonohadi No.19,Kudus",pemda,Kudus,59348,0291 444001,0291 438195, www.rsuddrloekmonohadi.com, rumahsakit@rsudkudus.com,TRUE,FALSE,FALSE,TRUE,"dr. ABDUL AZIZ ACHYAR, M. Kes",TRUE,Contact,Direktur
res_partner_926,RS Indosehat 2003,d,TRUE,Jl. Raya Subang KM 28 Cipendeuy Subang,swasta,Subang,41272,0260 713324,0260 713265,  , rsindosehat2003@gmail.com,TRUE,FALSE,FALSE,TRUE,"dr. Abdul Hanan R. Korompot, MH.Kes,MARS",TRUE,Contact,Direktur
res_partner_1760,RS SARI ASIH SANGIANG,c,TRUE,"Jl. Moh. Toha KM 3,5 (Simpang Tiga Sangiang) Kota Tangerang",swasta,Kota Tangerang,15131,021 5582732,021 55791307, sariasih.com, sariasih_sangiang@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,"dr. Abdul Khoja, MARS",TRUE,Contact,Direktur
res_partner_1977,RSB Paradise,c,TRUE,Jl. INS GUB NO. 267,swasta,Tanah Bumbu,72200,85251503039,51875351,  , Paradise_coal@ymail.com,TRUE,FALSE,FALSE,TRUE,"dr. Abdul Muin, Sp.OG",TRUE,Contact,Direktur
res_partner_1068,RS Bhakti Kartini,c,TRUE,Jl. R.A. Kartini No.11 Bekasi,organisasi,Kota Bekasi,17113,8801954,8824228, rsbhaktikartini.com, bhaktikartini@yahoo.com,TRUE,FALSE,FALSE,TRUE,Dr. Abdul Rahman SH SpTHT   KL M.Kes,TRUE,Contact,Direktur
res_partner_1588,RS AL Batuporon,other,TRUE,Jl. Mawar Madura Kab Bangkalan,angkatan,Bangkalan,31,279021,,  ,  ,TRUE,FALSE,FALSE,TRUE,Dr. Abdul Rohman,TRUE,Contact,Direktur
res_partner_673,RS THT Bedah Yayasan Yurino,other,TRUE,"Jl. Ciranjang No.20 22,Jaksel",organisasi,Kota Jakarta Selatan,12180,021 7243366,021 7398837,  ,  ,TRUE,FALSE,FALSE,TRUE,"Dr. Abdullah Cholil,MPH",TRUE,Contact,Direktur
res_partner_2562,SILOAM HOSPITALS MANADO,b,TRUE,JL.SAM RATULANGI NO.22 BOULEVARD CENTER,swasta,Kota Manado,95111,0431 8883131,,  ,0,TRUE,FALSE,FALSE,TRUE,"Dr. Abraham Talumewo, MHSM",TRUE,Contact,Direktur
res_partner_1956,RSU Kota Palangka Raya,d,TRUE,Jl. Mahir Mahar KM. 18.5 Kalampangan,pemda,Kota Palangka Raya,73114,0536 3246101,0, 0, rsupalangkaraya@gmail.com,TRUE,FALSE,FALSE,TRUE,dr. Abram Sidi Winasis,TRUE,Contact,Direktur
res_partner_2452,RS MUHAMMADIYAH BANDUNG TULUNGAGUNG,other,TRUE,"Jl. Panglima Sudirman no. 42, Ds. Mergayu, Kec. Bandung, kab. Tulungagung",organisasi,Tulungagung,66274,(0355) 532760,(0355) 533235,0, rsum_bandung@yahoo.co.id,TRUE,FALSE,FALSE,TRUE,dr. Abu Mardah,TRUE,Contact,Direktur
res_partner_662,RSU Avisena,c,TRUE,"Jl. H. Rohimin No. 30 Kel. Ulujami, Kec. Pesanggrahan",swasta,Jakarta Selatan, ,021 5853916,,  ,0,TRUE,FALSE,FALSE,TRUE,dr. Achdayat Premedi TJ.MARS,TRUE,Contact,Direktur
res_partner_2517,RS PKU MUHAMMADIYAH SURABAYA,other,TRUE,Jl. KHM Mansyur No. 180 182,swasta,Kota Surabaya,60162,"031 3522980, 35",, www.rspkusby.com,0,TRUE,FALSE,FALSE,TRUE,dr. ACHMAD AZIZ,TRUE,Contact,Direktur
res_partner_2472,RSIA Kirana,other,TRUE,"Jl. Raya Ngelom No.87 Taman, Sidoarjo",swasta,Sidoarjo,61257,031   7881623,031   7873010, www.rsia_kirana.com, rsia_kirana@yahoo.com,TRUE,FALSE,FALSE,TRUE,Dr. Achmad Ichbal,TRUE,Contact,Direktur
res_partner_893,RS Sekar Kamulyan,other,TRUE,"Jl. Raya Cigugur Kuningan,Jakbar",organisasi,Kuningan,232,873206,875516,  ,  ,TRUE,FALSE,FALSE,TRUE,Dr. Achmad Supendi,TRUE,Contact,Direktur
res_partner_1649,RS Griya Husada Madiun,d,TRUE,Jl. Mayjen. Panjaitan No. 22,swasta,Kota Madiun,63137,(0351) 472801,(0351) 475900,  , rs_griyahusada_madiun@yahoo.com,TRUE,FALSE,FALSE,TRUE,"dr. Achmad Thamrin, Sp.JP",TRUE,Contact,Direktur
res_partner_2289,RUMKITAL DR.SOEDIBJO SARDADI,other,TRUE,Jl.Amphibi no.1 Hamadi Jayapura,angkatan,Jayapura,59112,0967 522958,0967 522958,  , rsalsoedibjo_sardadi@yahoo.com,TRUE,FALSE,FALSE,TRUE,"dr. Achmad, M.Kes",TRUE,Contact,Direktur
